Subject,Block,Trial,Assistance,Training,ergodicity,error,successtime,tts,PAA,srate,mergodicity,merror,msuccesstime,mtts
1,5,3,0,0,0.542655,0.564057,0.3,7.441667,0.195893,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,11,3,1,0,0.97637,0.717119,0,30.008333,0.093785,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,5,4,0,0,1.105998,0.732907,0,30.008333,0.305216,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,11,4,1,0,0.442791,0.542187,0.466667,22.775,0.266371,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,5,5,0,0,0.680589,0.621,0,30.008333,0.219756,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,11,5,1,0,0.627248,0.654941,1.5,17.608334,0.169811,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,6,1,0,0,0.835126,0.669628,0,30.008333,0.283574,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,12,1,1,0,0.997672,0.774393,0,30.008333,0.110988,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,6,2,0,0,0.554379,0.55739,0,30.008333,0.187014,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,12,2,1,0,0.795546,0.692196,0.033333,27.508333,0.149834,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,6,3,0,0,0.751762,0.636163,0.033333,19.258333,0.203108,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,12,3,1,0,0.546389,0.597575,1.316667,17.325001,0.206992,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,6,4,0,0,0.666816,0.593206,0,30.008333,0.211987,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,12,4,1,0,0.596327,0.639322,0.516667,15.008333,0.175361,0.7,0.6807499333,0.6457607,0.7144445,22.387222
1,6,5,0,0,0.686808,0.609855,0,30.008333,0.218091,0.2,0.7130631,0.6226748,0.1549999667,27.2899997
1,12,5,1,0,0.331482,0.510409,3.6,7.125,0.255827,0.7,0.6807499333,0.6457607,0.7144445,22.387222
2,1,1,0,0,0.564532,0.577479,0,30.008333,0.201998,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,7,1,1,0,0.362981,0.519673,3.433333,17.775,0.225305,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,1,2,0,0,0.608789,0.588016,0.766667,10.575,0.246393,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,7,2,1,0,0.450315,0.542538,0,30.008333,0.180355,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,1,3,0,0,0.860567,0.672568,0.133333,24.941668,0.241398,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,7,3,1,0,0.299746,0.489677,3.15,7.591667,0.22808,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,1,4,0,0,0.58592,0.581582,0,30.008333,0.279689,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,7,4,1,0,0.474278,0.536565,0.5,18.441668,0.194229,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,1,5,0,0,0.615413,0.589895,0,30.008333,0.227525,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,7,5,1,0,0.395243,0.526366,0.766667,12.558333,0.210877,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,2,1,0,0,0.668399,0.596071,0,30.008333,0.254717,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,8,1,1,0,0.401066,0.516187,1.066667,24.308332,0.239734,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,2,2,0,0,1.19071,0.783879,0,30.008333,0.217536,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,8,2,1,0,0.363338,0.512742,2.166667,22.174999,0.200333,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,2,3,0,0,0.604096,0.587992,0,30.008333,0.213097,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,8,3,1,0,0.375443,0.514314,2.133333,15.908334,0.192564,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,2,4,0,0,0.624277,0.597997,0,30.008333,0.236959,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,8,4,1,0,0.282531,0.477905,4,7.358333,0.22808,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,2,5,0,0,0.564023,0.577426,0.966667,11.558333,0.243063,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,8,5,1,0,0.298054,0.479745,3.866667,7.025,0.226415,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,3,1,0,0,0.498239,0.55415,0,30.008333,0.228635,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,9,1,1,0,0.26272,0.462766,5.083333,6.308333,0.248613,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,3,2,0,0,0.636095,0.602357,0,30.008333,0.143174,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,9,2,1,0,0.379992,0.519113,1.85,18.575001,0.199223,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,3,3,0,0,0.581115,0.582181,0,30.008333,0.22475,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,9,3,1,0,0.306126,0.487189,3.6,13.391666,0.276915,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,3,4,0,0,0.627151,0.599835,0,30.008333,0.264706,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,9,4,1,0,0.279939,0.481385,5.533333,13.375,0.23141,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,3,5,0,0,0.569966,0.570864,0,30.008333,0.208102,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,9,5,1,0,0.252732,0.460284,4.983333,4.491667,0.248613,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,4,1,0,0,0.540134,0.565352,0,30.008333,0.173141,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,10,1,1,0,0.252981,0.468767,6.383333,6.575,0.204218,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,4,2,0,0,0.599587,0.576427,0,30.008333,0.223085,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,10,2,1,0,0.272491,0.470754,6.1,8.525,0.255827,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,4,3,0,0,0.694458,0.623145,0,30.008333,0.157603,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,10,3,1,0,0.35744,0.498417,2.666667,12.908334,0.218091,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,4,4,0,0,0.875937,0.679039,0.35,18.991667,0.234184,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,10,4,1,0,0.374246,0.497203,1.016667,12.591666,0.18202,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,4,5,0,0,0.45745,0.536388,0.616667,15.758333,0.239734,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,10,5,1,0,0.290557,0.478152,5.1,4.408333,0.224195,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,5,1,0,0,0.670182,0.625129,0,30.008333,0.17869,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,11,1,1,0,0.25722,0.469945,6.133333,8.458333,0.247503,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,5,2,0,0,0.464149,0.536485,0,30.008333,0.240844,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,11,2,1,0,0.237501,0.4543,6.033333,10.058333,0.229745,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,5,3,0,0,0.592817,0.574418,0.166667,11.525,0.235294,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,11,3,1,0,0.291647,0.47741,4.383333,8.691667,0.265816,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,5,4,0,0,0.449747,0.533667,0.55,7.608333,0.285794,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,11,4,1,0,0.305805,0.486028,3.783333,10.841666,0.244173,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,5,5,0,0,0.591391,0.573525,0,30.008333,0.287458,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,11,5,1,0,0.119193,0.405907,12.933333,6.691667,0.308546,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,6,1,0,0,0.690945,0.606877,0,30.008333,0.248058,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,12,1,1,0,0.15641,0.416369,10.916667,4.258333,0.282464,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,6,2,0,0,0.671604,0.595932,0.066667,12.308333,0.207547,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,12,2,1,0,0.306028,0.477707,4.566667,11.425,0.26859,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,6,3,0,0,0.786324,0.670819,0.916667,14.191667,0.241398,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,12,3,1,0,0.206118,0.44108,7.8,7.791667,0.308546,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,6,4,0,0,0.515076,0.553233,0,30.008333,0.247503,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,12,4,1,0,0.233959,0.450862,6.4,4.441667,0.296892,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
2,6,5,0,0,0.639106,0.610099,0.433333,4.941667,0.238069,0.3333333333,0.6346066333,0.5974275667,0.1655556,24.4188887
2,12,5,1,0,0.264994,0.476582,4.116667,8.691667,0.254162,0.9666666667,0.3037031333,0.4831977333,4.3488888667,11.5216666333
3,7,1,0,1,0.825858,0.685646,0,30.008333,0.173141,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,1,1,1,1,1.311859,0.85211,0,30.008333,0.142619,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,7,2,0,1,1.329254,0.830663,0,30.008333,0.172586,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,1,2,1,1,0.736072,0.690486,0.55,24.225,0.189789,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,7,3,0,1,0.611924,0.592171,0,30.008333,0.201443,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,1,3,1,1,0.877512,0.740917,0.616667,29.308332,0.114317,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,7,4,0,1,0.962581,0.713865,0,30.008333,0.150388,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,1,4,1,1,0.914668,0.72022,0,30.008333,0.115427,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,7,5,0,1,0.741001,0.632217,1.45,27.025,0.198668,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,1,5,1,1,0.691982,0.678553,1.366667,22.158333,0.144284,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,8,1,0,1,0.761818,0.626797,0,30.008333,0.154273,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,2,1,1,1,0.732852,0.679575,0.566667,19.025,0.170366,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,8,2,0,1,0.655469,0.600483,0,30.008333,0.18535,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,2,2,1,1,0.881008,0.704454,0.616667,29.375,0.149834,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,8,3,0,1,0.946481,0.709259,0,30.008333,0.157048,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,2,3,1,1,1.065769,0.749924,0,30.008333,0.105993,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,8,4,0,1,0.991353,0.680486,0,30.008333,0.162042,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,2,4,1,1,1.105526,0.778103,0,30.008333,0.150388,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,8,5,0,1,0.772726,0.642138,0,30.008333,0.163152,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
